	id	name	credits	difficulty	grades	student
0	42	Introduction to Nuclear and Particle Physics	3	5.0	4.0	Brandon Nelson
1	2	Introduction to Quantum Mechanics II	3	5.0	4.0	Christopher Baker
2	88	Laser Physics	3	4.0	5.0	Randy Nelson
3	62	Introduction to Modern Physics	3	1.0	2.0	Carl Walker
4	70	Calculus for Science and Engineering I	4	5.0	3.0	Gerald Scott
5	79	Introduction to Abstract Algebra	3	5.0	5.0	Brandon Roberts
6	30	General Physics II – Electricity and Magnetism	4	5.0	4.0	Jason Walker
7	16	General Physics II – Electricity and Magnetism	4	5.0	5.0	Joseph Taylor
8	67	Cosmology and the Structure of the Universe	3	2.0	3.0	Juan Sanchez
9	26	Elementary Differential Equations	3	2.0	4.0	Brian Harris
10	85	Introduction to Modern Physics	3	1.0	1.0	Louis Anderson
11	93	Introduction to Quantum Mechanics I	3	5.0	5.0	Phillip Robinson
12	39	Fundamentals of Analysis I	3	4.0	5.0	Larry Green
13	26	Introduction to Quantum Mechanics I	3	5.0	5.0	Brian Harris
14	37	General Relativity	3	5.0	4.0	Stephen King
15	79	Introduction to Complex Analysis	3	4.0	5.0	Brandon Roberts
16	90	Introduction to Modern Physics	3	1.0	3.0	Raymond Wilson
17	49	Calculus for Science and Engineering III	3	1.0	1.0	Alexander Phillips
18	50	Introduction to Abstract Algebra	3	5.0	4.0	Jack Evans
19	1	Calculus for Science and Engineering II	4	3.0	5.0	Jennifer Jones
20	30	General Relativity	3	5.0	4.0	Jason Walker
21	70	Linear Algebra	3	2.0	2.0	Gerald Scott
22	24	Modern Cosmology	3	3.0	5.0	Paul Lee
23	67	Calculus for Science and Engineering I	4	5.0	4.0	Juan Sanchez
24	44	Calculus for Science and Engineering II	4	3.0	2.0	Samuel Ramirez
25	24	Classical Mechanics	3	1.0	3.0	Paul Lee
26	28	Introduction to Abstract Algebra	3	5.0	5.0	Edward Lewis
27	64	Modern Cosmology	3	3.0	4.0	Ryan Hall
28	27	General Physics II – Electricity and Magnetism	4	5.0	4.0	George Clark
29	78	Introduction to Abstract Algebra	3	5.0	5.0	Bruce Mitchell
30	41	Fundamentals of Analysis II	3	1.0	1.0	Scott Adams
31	58	Introduction to Quantum Mechanics I	3	5.0	5.0	Nathan Wilson
32	61	Elementary Differential Equations	3	2.0	4.0	Kyle Robinson
33	81	Calculus for Science and Engineering II	4	3.0	3.0	Harry Phillips
34	42	Laser Physics	3	4.0	4.0	Brandon Nelson
35	98	Calculus for Science and Engineering II	4	3.0	5.0	Eugene Allen
36	42		3	1.0	2.0	Brandon Nelson
37	50	Introduction to Quantum Mechanics II	3	5.0	4.0	Jack Evans
38	3	Calculus for Science and Engineering I	4	5.0	5.0	Anthony Jones
39	87	Introduction to Quantum Mechanics I	3	5.0	5.0	Aaron Lewis
40	61	Introduction to Quantum Mechanics I	3	5.0	5.0	Kyle Robinson
41	74	General Physics I – Mechanics	4	4.0	5.0	Lawrence Nelson
42	50	Calculus for Science and Engineering I	4	5.0	4.0	Jack Evans
43	69	Introduction to Complex Analysis	3	4.0	5.0	Harold King
44	76	Introduction to Nuclear and Particle Physics	3	5.0	5.0	Roy Ramirez
45	72	Cosmology and the Structure of the Universe	3	2.0	4.0	Samuel Baker
46	28	Introduction to Modern Physics	3	1.0	2.0	Edward Lewis
47	0	Fundamentals of Analysis I	3	4.0	5.0	Elizabeth White
48	73	Thermodynamics and Statistical Mechanics	3	4.0	5.0	Willie Adams
49	76	Linear Algebra	3	2.0	4.0	Roy Ramirez
50	49	Fundamentals of Analysis II	3	1.0	1.0	Alexander Phillips
51	28	Introduction to Quantum Mechanics I	3	5.0	5.0	Edward Lewis
52	8	Fundamentals of Analysis I	3	4.0	3.0	Sharon Allen
53	91	Introduction to Complex Analysis	3	4.0	5.0	Bobby Martinez
54	76	Thermodynamics and Statistical Mechanics	3	4.0	5.0	Roy Ramirez
55	73	Calculus for Science and Engineering I	4	5.0	5.0	Willie Adams
56	89	Introduction to Abstract Algebra	3	5.0	4.0	Eugene Baker
57	56	Calculus for Science and Engineering III	3	1.0	3.0	Douglas Nelson
58	54	Fundamentals of Analysis II	3	1.0	2.0	Aaron White
59	15	General Physics I – Mechanics	4	4.0	3.0	Richard Martinez
60	55	Laser Physics	3	4.0	5.0	Henry Lewis
61	40	Thermodynamics and Statistical Mechanics	3	4.0	4.0	Justin Baker
62	64	Introduction to Quantum Mechanics I	3	5.0	5.0	Ryan Hall
63	49	Introduction to Complex Analysis	3	4.0	3.0	Alexander Phillips
64	94	General Relativity	3	5.0	5.0	Paul Walker
65	4	Calculus for Science and Engineering I	4	5.0	3.0	Jeffrey Thomas
66	28	Calculus for Science and Engineering III	3	1.0	2.0	Edward Lewis
67	5	Introduction to Nuclear and Particle Physics	3	5.0	5.0	Andrew White
68	55	General Physics II – Electricity and Magnetism	4	5.0	5.0	Henry Lewis
69	78	Introduction to Quantum Mechanics II	3	5.0	5.0	Bruce Mitchell
70	20	Fundamentals of Analysis I	3	4.0	3.0	Matthew Jackson
71	21	General Physics I – Mechanics	4	4.0	5.0	Mark Thompson
72	50	Introduction to Quantum Mechanics I	3	5.0	4.0	Jack Evans
73	58	Fundamentals of Analysis II	3	1.0	3.0	Nathan Wilson
74	52	Introduction to Nuclear and Particle Physics	3	5.0	3.0	Jerry Torres
75	97	Elementary Differential Equations	3	2.0	3.0	Howard Young
76	68	Fundamentals of Analysis I	3	4.0	5.0	Jack Wright
77	22	Calculus for Science and Engineering II	4	3.0	2.0	Donald White
78	4	Classical Mechanics	3	1.0	1.0	Jeffrey Thomas
79	84	Calculus for Science and Engineering II	4	3.0	5.0	Steve Torres
80	14	Introduction to Quantum Mechanics II	3	5.0	5.0	David Wilson
81	83	General Physics I – Mechanics	4	4.0	4.0	Billy Turner
82	77	Modern Cosmology	3	3.0	5.0	Benjamin Campbell
83	16	Linear Algebra	3	2.0	3.0	Joseph Taylor
84	3	General Physics II – Electricity and Magnetism	4	5.0	5.0	Anthony Jones
85	51	Calculus for Science and Engineering II	4	3.0	5.0	Dennis Turner
86	35	General Physics I – Mechanics	4	4.0	5.0	Nicholas Sanchez
87	20	General Physics I – Mechanics	4	4.0	3.0	Matthew Jackson
88	10	General Physics II – Electricity and Magnetism	4	5.0	5.0	Patricia Brown
89	89	Classical Mechanics	3	1.0	2.0	Eugene Baker
90	58	Introduction to Quantum Mechanics II	3	5.0	5.0	Nathan Wilson
